,Kingdom,Phylum,Class,Order,Family,Genus
ASV_V3V404820,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,SEEP-SRB1
ASV_V3V404823,Bacteria,WS2,,,,
ASV_V3V404824,Bacteria,LCP-89,,,,
ASV_V3V404825,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V404888,Bacteria,Acetothermia,Acetothermiia,,,
ASV_V3V404889,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,,
ASV_V3V404899,Bacteria,Chloroflexi,Dehalococcoidia,GIF3,,
ASV_V3V404960,Bacteria,Chloroflexi,Anaerolineae,MSB-5B2,,
ASV_V3V404961,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,
ASV_V3V405047,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V405138,Bacteria,Proteobacteria,Gammaproteobacteria,1013-28-CG33,,
ASV_V3V405162,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Marinomonadaceae,Marinomonas
ASV_V3V405202,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,SG8-4,
ASV_V3V405278,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans
ASV_V3V405399,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V405402,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,SG8-4,
ASV_V3V405403,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nealsonbacteria,,
ASV_V3V405404,Bacteria,Planctomycetes,Phycisphaerae,,,
ASV_V3V405470,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V405474,Bacteria,Chloroflexi,Dehalococcoidia,GIF9,,
ASV_V3V405475,Bacteria,,,,,
ASV_V3V405581,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
